Dimension ShellSort Selection BubbleSort Insertion CocktailSort CombSort OddEvenSort
1000 0.000064 0.001521 0.002408 0.001657 0.004795 0.000072 0.003379 
2000 0.000135 0.006129 0.010889 0.006639 0.019211 0.000159 0.013511 
3000 0.000227 0.015845 0.023062 0.015615 0.043241 0.000249 0.030392 
4000 0.000300 0.030380 0.041684 0.027911 0.076324 0.000343 0.053981 
5000 0.000391 0.047827 0.065075 0.043432 0.119190 0.000443 0.084566 
6000 0.000488 0.067910 0.094438 0.062318 0.172292 0.000551 0.121576 
7000 0.000544 0.077586 0.157085 0.084945 0.234282 0.000693 0.165802 
8000 0.000676 0.098858 0.273840 0.108995 0.309472 0.000789 0.215041 
9000 0.001017 0.117691 0.269296 0.138676 0.387591 0.000875 0.273964 
10000 0.000853 0.149807 0.354905 0.168286 0.480221 0.000969 0.342196 
